#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2018 01 29 02 00 170 11.0 14.0   3.6    10    MM  MM 1016.4  10.4   9.8    MM   MM -1.0    MM
2018 01 29 01 00 170 11.0 13.0   3.7    10    MM  MM 1017.0  10.3   9.8    MM   MM -0.4    MM
2018 01 29 00 00 170 10.0 13.0   3.7     8    MM  MM 1017.4  10.4   9.8    MM   MM -0.4    MM
2018 01 28 23 00 170 10.0 13.0   3.6    10    MM  MM 1017.4  10.5   9.8    MM   MM -0.6    MM
2018 01 28 22 00 170 10.0 11.0   3.6     8    MM  MM 1017.4  10.5   9.8    MM   MM -0.5    MM
2018 01 28 21 00 170 10.0 12.0   3.7     8    MM  MM 1017.8  10.5   9.8    MM   MM -0.1    MM
2018 01 28 20 00 170 11.0 15.0   3.6     7    MM  MM 1018.0  10.5   9.7    MM   MM -0.2    MM
2018 01 28 19 00 160 12.0 15.0   3.6     8    MM  MM 1017.9  10.4   9.7    MM   MM -0.4    MM
2018 01 28 18 00 160 13.0 16.0   3.6    11    MM  MM 1017.9  10.5   9.7    MM   MM -0.7    MM
2018 01 28 17 00 160 11.0 14.0   3.6    12    MM  MM 1018.2  10.5   9.7    MM   MM -0.5    MM
2018 01 28 16 00 150 11.0 14.0   3.2    12    MM  MM 1018.3  10.4   9.7    MM   MM -1.6    MM
2018 01 28 15 00 120 11.0 14.0   3.2    10    MM  MM 1018.6   9.6   9.7    MM   MM -1.9    MM
2018 01 28 14 00 100 14.0 18.0   3.3    11    MM  MM 1018.7   8.1   9.7    MM   MM -3.0    MM
2018 01 28 13 00 100 16.0 18.0   3.4    11    MM  MM 1019.9   7.7   9.6    MM   MM -2.9    MM
