#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2018 02 28 20 00 130 13.0 16.0   4.1     7    MM  MM  998.5   7.7   8.3    MM   MM -4.3    MM
2018 02 28 19 00 130 14.0 18.0   4.0     7    MM  MM  999.9   7.0   8.3    MM   MM -4.4    MM
2018 02 28 18 00 120 14.0 17.0   3.3     6    MM  MM 1001.3   6.8   8.3    MM   MM -4.6    MM
2018 02 28 17 00 140 14.0 17.0   3.0    13    MM  MM 1002.8   6.9   8.3    MM   MM -4.5    MM
2018 02 28 16 00 120 13.0 18.0   2.6    13    MM  MM 1004.3   6.9   8.3    MM   MM -5.1    MM
2018 02 28 15 00 120 12.0 14.0   2.5    13    MM  MM 1005.9   7.4   8.3    MM   MM -5.0    MM
2018 02 28 14 00 140 11.0 14.0   2.2    12    MM  MM 1007.3   7.6   8.3    MM   MM -4.8    MM
2018 02 28 13 00 130  8.0 10.0   2.3    12    MM  MM 1009.4   7.1   8.3    MM   MM -3.8    MM
2018 02 28 12 00 140  8.0 10.0   2.2    13    MM  MM 1010.9   7.4   8.3    MM   MM -3.1    MM
2018 02 28 11 00 160  7.0  8.0   2.1    12    MM  MM 1012.1   7.4   8.3    MM   MM -3.0    MM
2018 02 28 10 00 160  4.0  6.0   2.2    11    MM  MM 1013.2   7.1   8.3    MM   MM -2.6    MM
2018 02 28 09 00 180  5.0  6.0   2.4    12    MM  MM 1014.0   6.9   8.3    MM   MM -2.2    MM
2018 02 28 08 00 190  5.0  6.0   2.6    11    MM  MM 1015.1   7.1   8.3    MM   MM -1.7    MM
2018 02 28 07 00 230  5.0  6.0   2.6    12    MM  MM 1015.8   7.2   8.4    MM   MM -1.5    MM
2018 02 28 06 00 260  6.0  8.0   2.7    12    MM  MM 1016.2   6.7   8.4    MM   MM -1.4    MM
2018 02 28 05 00 260  5.0  7.0   2.8    11    MM  MM 1016.8   6.7   8.4    MM   MM -0.8    MM
2018 02 28 04 00 290  5.0  8.0   2.6    11    MM  MM 1017.3   6.6   8.4    MM   MM -0.3    MM
2018 02 28 03 00 280  6.0  8.0   2.9    11    MM  MM 1017.6   7.2   8.4    MM   MM -0.3    MM
2018 02 28 02 00 290  6.0  8.0   2.8    11    MM  MM 1017.6   6.8   8.4    MM   MM -0.2    MM
2018 02 28 01 00 290  8.0 10.0   2.6    12    MM  MM 1017.6   7.2   8.5    MM   MM -0.5    MM
2018 02 28 00 00 290  8.0 10.0   2.8    12    MM  MM 1017.9   7.3   8.5    MM   MM -0.1    MM
2018 02 27 23 00 290 12.0 14.0   2.6    11    MM  MM 1017.8   6.8   8.5    MM   MM -0.3    MM
2018 02 27 22 00 290 10.0 11.0   2.5    10    MM  MM 1018.1   7.3   8.6    MM   MM +0.0    MM
2018 02 27 21 00 280  8.0 10.0   2.6    11    MM  MM 1018.0   7.2   8.5    MM   MM +0.4    MM
2018 02 27 20 00 300  9.0 12.0   2.5    12    MM  MM 1018.1   7.6   8.4    MM   MM +0.7    MM
